ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small,Registration Number,Is variable speed,Type variable output,Var output compressor,Variable output rated as fixed sp,No HSPF,Rated Total Cool Capacity W,Rated cooling power input W,Have T1 half cap results,T1_half_cap_power_rated,T1_half_cap_cooling_cap_rated,Have T1 min cap results,T1_min_cap_power_rated,T1_min_cap_cooling_cap_rated,Have low temp cool full cap results,Low temp cooling full cap power rated,Low temp cooling full cap rated,Have low temp cool half cap results,Low temp cooling half cap power rated,Low temp cooling half cap rated,Have low temp cool min cap results,Low temp cooling min cap power rated,Low temp cooling min cap rated,Rated Heating Capacity watts,Rated heating power input watts,H1_half_cap_power_rated,H1_half_cap_heat_cap_rated,Have H1 min cap results,H1_min_cap_power_rated,H1_min_cap_heat_cap_rated,Have H2 extended mode results,H2_ext_cap_power_rated,H2_ext_cap_heat_cap_rated,Have H2 full mode results,H2_full_cap_power_rated,H2_full_cap_heat_cap_rated,Have H2 half capacity results,H2_half_cap_power_rated,H2_half_cap_heat_cap_rated,Have H2 min capacity results,H2_min_cap_power_rated,H2_min_cap_heat_cap_rated,Have H3 extended mode results,H3_ext_cap_power_rated,H3_ext_cap_heat_cap_rated,Have H3 full mode results,H3_full_cap_power_rated,H3_full_cap_heat_cap_rated,Have H3 half capacity results,H3_half_cap_power_rated,H3_half_cap_heat_cap_rated,indoor_sound_level,outdoor_sound_level,Residential TCSPF_cold,Residential TCSPF_mixed,Residential TCSPF_hot,Commercial TCSPF_cold,Commercial TCSPF_mixed,Commercial TCSPF_hot,Residential tcec_cold,Residential tcec_mixed,Residential tcec_hot,Commercial tcec_cold,Commercial tcec_mixed,Commercial tcec_hot,c_star_cold,c_star_mixed,c_star_hot,Residential HSPF_cold,Residential HSPF_mixed,Residential HSPF_hot,Commercial HSPF_cold,Commercial HSPF_mixed,Commercial HSPF_hot,Residential thec_cold,Residential thec_mixed,Residential thec_hot,Commercial thec_cold,Commercial thec_mixed,Commercial thec_hot,h_star_cold,h_star_mixed,h_star_hot,Outdoor unit only,Have_water_tank,Rated cool power input with water,Rated cool cap with water W,Rated cool cap with water kW,Residential tcec_cold with water,Residential tcec_mixed with water,Residential tcec_hot with water,PIA inoperative power,Rated AEER,Rated ACOP
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY090LALBH / AUXA18GALH,,,FUJITSU,0.95,Non Ducted,Multiple split - VRF,,Air,Air,China,7.54,27.05,28.0,,0.0,0.0,0.0,,7.51,31.5,Enthalpy Test Room,3.5522,4.1458,True,0.0,,60.14,60.49,0.0,0.0,,,,3.46172838689446,4.03533477720545,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108873,2022-07-19,,Approved,Reverse Cycle,,Class 11,False,,False,,,,,3.5522,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2717,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,7.54,,,,,,,,,,,,,,,,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.616,4.0832
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY108LALBH / AUXA18GALH,,,FUJITSU,0.71,Non Ducted,Multiple split - VRF,,Air,Air,China,9.27,30.79,31.5,,0.0,0.0,0.0,,8.96,37.5,Enthalpy Test Room,3.6189,4.2545,True,0.0,,62.14,62.49,0.0,0.0,,,,3.53642978205328,4.15380584544067,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108874,2022-07-20,,Approved,Reverse Cycle,,Class 11,False,,False,,,,,3.6189,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2723,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,9.27,,,,,,,,,,,,,,,,,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3228,4.0889
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY144LALBH / AUXA18GALH,,,FUJITSU,0.8,Non Ducted,Multiple split - VRF,,Air,Air,China,13.42,44.2,45.0,,0.0,0.0,0.0,,14.04,50.0,Enthalpy Test Room,3.1937,3.419,True,0.0,,66.14,66.49,0.0,0.0,,,,3.14277383422662,3.36587289380191,,,,,,,Enthalpy Test Room,Three,R410A,Australia,108877,2022-07-20,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.1937,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2724,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,13.42,,,,,,,,,,,,,,,,,14.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2983,3.5051
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY126LALBH / AUXA18GALH,,,FUJITSU,1.17,Non Ducted,Multiple split - VRF,,Air,Air,China,11.32,38.83,40.0,,0.0,0.0,0.0,,11.53,45.0,Enthalpy Test Room,3.4134,3.8151,True,0.0,,64.14,64.49,0.0,0.0,,,,3.34998224912876,3.74397476524041,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108880,2022-07-19,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.4134,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2718,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,11.32,,,,,,,,,,,,,,,,,11.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4672,3.8304
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY090LALBH / AJY072LALBH / AUXA18GALH,,,FUJITSU,1.63,Non Ducted,Multiple split - VRF,,Air,Air,China,12.94,48.77,50.4,,0.0,0.0,0.0,,12.88,56.5,Enthalpy Test Room,3.7149,4.3323,True,0.0,,117.28,117.99,0.0,0.0,,,,3.60731492345789,4.20165009680702,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108881,2022-07-20,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.7149,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2725,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,12.94,,,,,,,,,,,,,,,,,12.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7791,4.2549
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY090LALBH / AUXA18GALH,,,FUJITSU,1.9,Non Ducted,Multiple split - VRF,,Air,Air,China,15.07,54.1,56.0,,0.0,0.0,0.0,,15.01,63.0,Enthalpy Test Room,3.5519,4.1455,True,0.0,,119.28,119.99,0.0,0.0,,,,3.46218194817818,4.0359517036456,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108883,2022-07-19,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.5519,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2720,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,15.07,,,,,,,,,,,,,,,,,15.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6192,4.0868
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJT144GBLH / AUXA18GALH,,,FUJITSU,1.95,Non Ducted,Multiple split - VRF,,Air,Air,China,15.08,43.05,45.0,,0.0,0.0,0.0,,14.66,48.5,Enthalpy Test Room,3.0179,3.3449,True,86.0,,128.14,128.35,3.52243940578577,0.0,,,,2.93354860699146,3.2478319648474,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108886,2022-07-19,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.0179,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2721,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,15.08,,,,,,,,,,,,,,,,,14.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9008,3.2132
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY126LALBH / AJY072LALBH / AUXA18GALH,,,FUJITSU,1.85,Non Ducted,Multiple split - VRF,,Air,Air,China,16.73,60.55,62.4,,0.0,0.0,0.0,,16.91,70.0,Enthalpy Test Room,3.5859,4.0628,True,0.0,,121.28,121.99,0.0,0.0,,,,3.50133803351049,3.96562428400224,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108892,2022-07-20,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.5859,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2722,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,16.73,,,,,,,,,,,,,,,,,16.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6406,4.041
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY072LALBH / AUXA18GALH,,,FUJITSU,1.37,Non Ducted,Multiple split - VRF,,Air,Air,China,10.81,43.43,44.8,,0.0,0.0,0.0,,10.75,50.0,Enthalpy Test Room,3.9448,4.5929,True,0.0,,114.28,114.98,0.0,0.0,,,,3.81129957685438,4.4319384348182,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108893,2022-07-20,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.9448,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2726,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,10.81,,,,,,,,,,,,,,,,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0013,4.4889
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,AJY108LALBH / AJY072LALBH / AUXA18GALH,,,FUJITSU,1.39,Non Ducted,Multiple split - VRF,,Air,Air,China,14.67,54.51,55.9,,0.0,0.0,0.0,,14.33,62.5,Enthalpy Test Room,3.7424,4.3833,True,0.0,,119.28,119.99,0.0,0.0,,,,3.64137152168936,4.26044433405351,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",108906,2022-07-20,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.7424,Available,,,http://www.fujitsugeneral.com.au/,http://www.fujitsugeneral.com.au,True,,,AAC2727,,"Variable output compressor,Thermostatic expansion value",Inverter,,,,14.67,,,,,,,,,,,,,,,,,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7086,4.2414
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,RAS-07BKV-A1 / RAS-07BAV-A1,,,Toshiba,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.49,1.5,2.0,,0.0,0.0,0.0,,0.55,2.5,Calorimeter Room,4.1677,4.5649,True,0.0,,1.2,1.2,0.0,0.0,,,,4.13380462312847,4.53129990418397,,,3.7676,4.5626,3.5,4.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",109330,2022-08-02,,Approved,Reverse Cycle,,Class 3,False,,False,,,,,4.1677,Available,,,http://www.toshiba-aircon.in.th/,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3.5_4.5.png,AAC2736,,Variable output compressor,Inverter,,,,0.49,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0481,4.5122
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,M5-XMi 450T-AU / CNT2-XMi D15,,,Clivet,0.8,Ducted,Multiple split - VRF,,Air,Air,China,13.64,44.2,45.0,,0.0,0.0,0.0,,14.19,50.0,Enthalpy Test Room,3.2677,3.2788,True,0.0,,213.0,213.0,0.0,0.0,,,,3.10106834247578,3.12370672156627,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",109336,2023-05-18,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.2677,Available,,,,,True,,,AAC3270,,Variable output compressor,Inverter,,,,13.64,,,,,,,,,,,,,,,,,14.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1337,3.3535
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,C-VM2-52/HFN1-Q / WMVA-26/QD3GW,,,MDV,0.79,Non Ducted,Multiple split - Fixed head,,Air,Air,China,1.55,4.41,5.2,,0.0,0.0,0.0,,1.62,5.7,Enthalpy Test Room,3.625,3.5917,True,0.0,,14.0,14.0,0.0,0.0,,,,3.50904469621177,3.48734441362041,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",109337,2022-08-08,,Approved,Reverse Cycle,,Class 9,True,,,True,True,True,,3.625,Available,,,,,True,,,AAC2745,,Variable output compressor,Inverter,,,,1.55,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2555,3.4187
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,C-VM3-75/HFN1-Q,,,MDV,0.75,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.1,6.75,7.5,,0.0,0.0,0.0,,2.22,8.0,Enthalpy Test Room,3.6585,3.9344,True,0.0,,20.0,20.0,0.0,0.0,,,,3.54049413335877,3.80659425165818,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",109371,2022-08-02,,Approved,Reverse Cycle,,Class 9,True,,,True,True,True,,3.6585,Available,,,,,True,,,AAC2739,,Variable output compressor,Inverter,,,,2.1,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,3.4971
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,C-VM4-86/HFN1-Q / WMVA-26/QD3GW,,,MDV,1.3,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.5,7.5,8.8,,0.0,0.0,0.0,,2.7,9.6,Enthalpy Test Room,3.8818,3.7477,True,0.0,,20.0,20.0,0.0,0.0,,,,3.7786769327467,3.65198670494032,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",109372,2022-08-08,,Approved,Reverse Cycle,,Class 9,True,,,True,True,True,,3.8818,Available,,,,,True,,,AAC2747,,Variable output compressor,Inverter,,,,2.5,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4273,3.4687
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,C-VM5-106/HFN1-Q,,,MDV,0.8,Non Ducted,Multiple split - Fixed head,,Air,Air,China,3.1,9.8,10.6,,0.0,0.0,0.0,,3.0,11.0,Enthalpy Test Room,3.5686,3.9128,True,0.0,,25.0,25.0,0.0,0.0,,,,3.47069329436597,3.798091934085,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",109374,2022-08-02,,Approved,Reverse Cycle,,Class 10,True,,,True,True,True,,3.5686,Available,,,,,True,,,AAC2738,,Variable output compressor,Inverter,,,,3.1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3286,3.5662
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,C-VM5-135/HFN1-Q / WMVA-26/QD3GW / WMVA-35/QC8GW,,,MDV,1.12,Non Ducted,Multiple split - Fixed head,,Air,Air,China,3.75,12.38,13.5,,0.0,0.0,0.0,,4.1,14.5,Enthalpy Test Room,3.4737,3.4677,True,0.0,,25.0,23.0,0.0,0.0,,,,3.39848853592929,3.4042132144725,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",109375,2022-08-08,,Approved,Reverse Cycle,,Class 10,True,,,True,True,True,,3.4737,Available,,,,,True,,,AAC2746,,Variable output compressor,Inverter,,,,3.75,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5207,3.4708
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,MM5CU106,,,MIDEA,0.8,Non Ducted,Multiple split - Fixed head,,Air,Air,China,3.1,9.8,10.6,,0.0,0.0,0.0,,3.0,11.0,Enthalpy Test Room,3.5686,3.9128,True,0.0,,25.0,25.0,0.0,0.0,,,,3.47069329436597,3.798091934085,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",109376,2022-08-02,,Approved,Reverse Cycle,,Class 10,True,,,True,True,True,,3.5686,Available,,,,,True,,,AAC2737,,Variable output compressor,Inverter,,,,3.1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3286,3.5662
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,MM5CU135 / MIS26 /MIS35,,,MIDEA,1.12,Non Ducted,Multiple split - Fixed head,,Air,Air,China,3.75,12.38,13.5,,0.0,0.0,0.0,,4.1,14.5,Enthalpy Test Room,3.4737,3.4677,True,0.0,,25.0,23.0,0.0,0.0,,,,3.39848853592929,3.4042132144725,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",109379,2022-08-09,,Approved,Reverse Cycle,,Class 10,True,,,True,True,True,,3.4737,Available,,,,,True,,,AAC2748,,Variable output compressor,Inverter,,,,3.75,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5207,3.4708
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,GMV-Q400WM/B-X(A) / GMV-ND50PHS/B2-T,,,GREE,1.14,Ducted,Multiple split - VRF,,Air,Air,China,12.58,38.87,40.01,,0.0,0.0,0.0,,14.23,45.0,Enthalpy Test Room,3.2661,3.212,False,0.0,,31.34,31.32,0.0,0.0,,,,3.23902401214236,3.18842734306122,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",109456,2022-08-11,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.2661,Available,,,http://www.gree.com.cn/,,,,,AAC2753,,,,,,,12.58,,,,,,,,,,,,,,,,,14.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1539,3.139
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FDT71VG/FDC71VNX,FDT71*VNX*VG,,MITSUBISHI HEAVY INDUSTRIES,1.61,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,1.94,5.49,7.1,,2.95564337092621,6.6567,2.2522,,1.91,8.0,Calorimeter Room,3.5618,4.1148,True,0.0,,33.76,33.58,0.0,0.0,,,,3.36617275984394,3.8886460636851,,,2.2323,3.2773,2.0,3.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",109457,2022-08-07,,Approved,Reverse Cycle,,Class 4,True,True,,True,True,True,,3.5618,Available,,,http://www.mhiaa.com.au/,http://www.mhi.net.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_3.png,AAC2741,,Variable output compressor,Inverter,,,,1.94,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4565,3.9535
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FDT71VG/FDCA71VNXA,FDT71*VNX*VG,,MITSUBISHI HEAVY INDUSTRIES,1.61,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,1.94,5.49,7.1,,2.95564337092621,6.6567,2.2522,,1.91,8.0,Calorimeter Room,3.5618,4.1148,True,0.0,,33.76,33.58,0.0,0.0,,,,3.36617275984394,3.8886460636851,,,2.2323,3.2773,2.0,3.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",109457,2022-08-07,,Approved,Reverse Cycle,,Class 4,True,True,,True,True,True,,3.5618,Available,,,http://www.mhiaa.com.au/,http://www.mhi.net.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_3.png,AAC2741,,Variable output compressor,Inverter,,,,1.94,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4565,3.9535
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FDT71*VNX*VG,FDT71*VNX*VG,,MITSUBISHI HEAVY INDUSTRIES,1.61,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,1.94,5.49,7.1,,2.95564337092621,6.6567,2.2522,,1.91,8.0,Calorimeter Room,3.5618,4.1148,True,0.0,,33.76,33.58,0.0,0.0,,,,3.36617275984394,3.8886460636851,,,2.2323,3.2773,2.0,3.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",109457,2022-08-07,,Approved,Reverse Cycle,,Class 4,True,True,,True,True,True,,3.5618,Available,,,http://www.mhiaa.com.au/,http://www.mhi.net.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_3.png,AAC2741,,Variable output compressor,Inverter,,,,1.94,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4565,3.9535
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,GMV-Q450WM/B-X(A) / GMV-ND56PHS/B2-T,,,GREE,0.95,Ducted,Multiple split - VRF,,Air,Air,China,13.52,44.05,45.0,,0.0,0.0,0.0,,16.42,50.0,Enthalpy Test Room,3.2698,2.9797,False,0.0,,31.34,31.32,0.0,0.0,,,,3.24503107341863,2.9609288778671,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",109491,2022-08-11,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.2698,Available,,,http://www.gree.com.cn/,,,,,AAC2752,,,,,,,13.52,,,,,,,,,,,,,,,,,16.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3025,3.0256
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FDT125VG/FDCA125VNX,,,MITSUBISHI HEAVY INDUSTRIES,2.36,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,3.42,10.14,12.5,,2.62007044404178,12.869,4.9117,,3.43,14.0,Calorimeter Room,3.5938,3.9625,True,0.0,,32.37,32.63,0.0,0.0,,,,3.48524004431983,3.84393149694024,,,2.4705,3.1879,2.0,3.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",109497,2022-08-07,,Approved,Reverse Cycle,,Class 5,True,True,,True,True,True,,3.5938,Available,,,http://www.mhiaa.com.au/,http://www.mhi.net.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_3.png,AAC2744,,Variable output compressor,Inverter,,,,3.42,,,,,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5417,3.9545
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FDT140VG/FDCA140VNX,,,MITSUBISHI HEAVY INDUSTRIES,3.84,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,4.26,10.16,14.0,,2.65712200989962,13.474,5.0709,,4.2,16.0,Calorimeter Room,3.3623,3.6394,True,0.0,,32.19,32.39,0.0,0.0,,,,3.27319914279917,3.550309198761,,,2.0464,2.6006,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",109499,2022-08-07,,Approved,Reverse Cycle,,Class 5,True,True,,True,True,True,,3.3623,Available,,,http://www.mhiaa.com.au/,http://www.mhi.net.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png,AAC2743,,Variable output compressor,Inverter,,,,4.26,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2045,3.7127
